Build model ...
Saving everything to directory ../checkpoints_50.
epoch: 1
Epoch: [0][82/849]	Time 2.036 (2.197)	Data 0.845 (0.875)	Loss 0.1277 (0.1710)	Prec 0.872 (0.829)	
Epoch: [0][83/849]	Time 2.035 (2.195)	Data 0.845 (0.874)	Loss 0.1352 (0.1706)	Prec 0.865 (0.829)	
Epoch: [0][84/849]	Time 2.038 (2.194)	Data 0.845 (0.874)	Loss 0.1322 (0.1702)	Prec 0.868 (0.830)	
Epoch: [0][85/849]	Time 2.034 (2.192)	Data 0.847 (0.874)	Loss 0.1187 (0.1696)	Prec 0.881 (0.830)	
Epoch: [0][86/849]	Time 2.037 (2.190)	Data 0.846 (0.873)	Loss 0.1288 (0.1691)	Prec 0.871 (0.831)	
Epoch: [0][87/849]	Time 2.037 (2.188)	Data 0.846 (0.873)	Loss 0.1343 (0.1687)	Prec 0.866 (0.831)	
Epoch: [0][88/849]	Time 2.039 (2.187)	Data 0.848 (0.873)	Loss 0.1185 (0.1681)	Prec 0.881 (0.832)	
Epoch: [0][89/849]	Time 2.036 (2.185)	Data 0.846 (0.872)	Loss 0.1215 (0.1676)	Prec 0.879 (0.832)	
Epoch: [0][90/849]	Time 2.034 (2.183)	Data 0.844 (0.872)	Loss 0.1201 (0.1671)	Prec 0.880 (0.833)	
Epoch: [0][91/849]	Time 2.035 (2.182)	Data 0.847 (0.872)	Loss 0.1389 (0.1668)	Prec 0.861 (0.833)	
Epoch: [0][92/849]	Time 2.037 (2.180)	Data 0.846 (0.871)	Loss 0.1170 (0.1663)	Prec 0.883 (0.834)	
Epoch: [0][93/849]	Time 2.036 (2.179)	Data 0.845 (0.871)	Loss 0.1243 (0.1658)	Prec 0.876 (0.834)	
Epoch: [0][94/849]	Time 2.038 (2.177)	Data 0.846 (0.871)	Loss 0.1212 (0.1653)	Prec 0.879 (0.835)	
Epoch: [0][95/849]	Time 2.036 (2.176)	Data 0.844 (0.871)	Loss 0.1360 (0.1650)	Prec 0.864 (0.835)	
Epoch: [0][96/849]	Time 2.036 (2.174)	Data 0.846 (0.870)	Loss 0.1142 (0.1645)	Prec 0.886 (0.835)	
Epoch: [0][97/849]	Time 2.034 (2.173)	Data 0.845 (0.870)	Loss 0.1234 (0.1641)	Prec 0.877 (0.836)	
Epoch: [0][98/849]	Time 2.037 (2.171)	Data 0.845 (0.870)	Loss 0.1320 (0.1638)	Prec 0.868 (0.836)	
Epoch: [0][99/849]	Time 2.038 (2.170)	Data 0.846 (0.870)	Loss 0.1193 (0.1633)	Prec 0.881 (0.837)	
Epoch: [0][100/849]	Time 2.036 (2.169)	Data 0.846 (0.869)	Loss 0.1345 (0.1630)	Prec 0.866 (0.837)	
Epoch: [0][101/849]	Time 2.036 (2.167)	Data 0.845 (0.869)	Loss 0.1166 (0.1626)	Prec 0.883 (0.837)	
Epoch: [0][102/849]	Time 2.036 (2.166)	Data 0.845 (0.869)	Loss 0.1175 (0.1621)	Prec 0.882 (0.838)	
Epoch: [0][103/849]	Time 2.036 (2.165)	Data 0.845 (0.869)	Loss 0.1190 (0.1617)	Prec 0.881 (0.838)	
Epoch: [0][104/849]	Time 2.034 (2.164)	Data 0.847 (0.869)	Loss 0.1288 (0.1614)	Prec 0.871 (0.839)	
Epoch: [0][105/849]	Time 2.037 (2.162)	Data 0.846 (0.868)	Loss 0.1152 (0.1610)	Prec 0.885 (0.839)	
Epoch: [0][106/849]	Time 2.037 (2.161)	Data 0.846 (0.868)	Loss 0.1320 (0.1607)	Prec 0.868 (0.839)	
Epoch: [0][107/849]	Time 2.033 (2.160)	Data 0.845 (0.868)	Loss 0.1263 (0.1604)	Prec 0.874 (0.840)	
Epoch: [0][108/849]	Time 2.041 (2.159)	Data 0.848 (0.868)	Loss 0.1259 (0.1601)	Prec 0.874 (0.840)	
Epoch: [0][109/849]	Time 2.036 (2.158)	Data 0.845 (0.868)	Loss 0.1273 (0.1598)	Prec 0.873 (0.840)	
Epoch: [0][110/849]	Time 2.036 (2.157)	Data 0.845 (0.867)	Loss 0.1171 (0.1594)	Prec 0.883 (0.841)	
Epoch: [0][111/849]	Time 2.039 (2.156)	Data 0.847 (0.867)	Loss 0.1296 (0.1591)	Prec 0.870 (0.841)	
Epoch: [0][112/849]	Time 2.039 (2.155)	Data 0.847 (0.867)	Loss 0.1222 (0.1588)	Prec 0.878 (0.841)	
Epoch: [0][113/849]	Time 2.037 (2.154)	Data 0.844 (0.867)	Loss 0.1128 (0.1584)	Prec 0.887 (0.842)	
Epoch: [0][114/849]	Time 2.037 (2.153)	Data 0.845 (0.867)	Loss 0.1139 (0.1580)	Prec 0.886 (0.842)	
Epoch: [0][115/849]	Time 2.035 (2.152)	Data 0.844 (0.866)	Loss 0.1186 (0.1577)	Prec 0.881 (0.842)	
Epoch: [0][116/849]	Time 2.040 (2.151)	Data 0.848 (0.866)	Loss 0.1273 (0.1574)	Prec 0.873 (0.843)	
Epoch: [0][117/849]	Time 2.040 (2.150)	Data 0.848 (0.866)	Loss 0.1209 (0.1571)	Prec 0.879 (0.843)	
Epoch: [0][118/849]	Time 2.039 (2.149)	Data 0.845 (0.866)	Loss 0.1250 (0.1568)	Prec 0.875 (0.843)	
Epoch: [0][119/849]	Time 2.035 (2.148)	Data 0.844 (0.866)	Loss 0.1153 (0.1565)	Prec 0.885 (0.844)	
Epoch: [0][120/849]	Time 2.034 (2.147)	Data 0.845 (0.866)	Loss 0.1179 (0.1562)	Prec 0.882 (0.844)	
Epoch: [0][121/849]	Time 2.035 (2.146)	Data 0.846 (0.865)	Loss 0.1212 (0.1559)	Prec 0.879 (0.844)	
Epoch: [0][122/849]	Time 2.035 (2.145)	Data 0.846 (0.865)	Loss 0.1225 (0.1556)	Prec 0.877 (0.844)	
Epoch: [0][123/849]	Time 2.034 (2.144)	Data 0.845 (0.865)	Loss 0.1212 (0.1553)	Prec 0.879 (0.845)	
Epoch: [0][124/849]	Time 2.038 (2.143)	Data 0.848 (0.865)	Loss 0.1302 (0.1551)	Prec 0.870 (0.845)	
Epoch: [0][125/849]	Time 2.036 (2.143)	Data 0.847 (0.865)	Loss 0.1277 (0.1549)	Prec 0.872 (0.845)	
Epoch: [0][126/849]	Time 2.035 (2.142)	Data 0.845 (0.865)	Loss 0.1122 (0.1546)	Prec 0.888 (0.845)	
Epoch: [0][127/849]	Time 2.035 (2.141)	Data 0.846 (0.864)	Loss 0.1298 (0.1544)	Prec 0.870 (0.846)	
Epoch: [0][128/849]	Time 2.038 (2.140)	Data 0.847 (0.864)	Loss 0.1183 (0.1541)	Prec 0.882 (0.846)	
Epoch: [0][129/849]	Time 2.033 (2.139)	Data 0.845 (0.864)	Loss 0.1128 (0.1538)	Prec 0.887 (0.846)	
Epoch: [0][130/849]	Time 2.035 (2.138)	Data 0.844 (0.864)	Loss 0.1239 (0.1536)	Prec 0.876 (0.846)	
Epoch: [0][131/849]	Time 2.044 (2.138)	Data 0.846 (0.864)	Loss 0.1247 (0.1533)	Prec 0.875 (0.847)	
Epoch: [0][132/849]	Time 2.029 (2.137)	Data 0.839 (0.864)	Loss 0.1118 (0.1530)	Prec 0.888 (0.847)	
Epoch: [0][133/849]	Time 2.033 (2.136)	Data 0.844 (0.864)	Loss 0.1273 (0.1528)	Prec 0.873 (0.847)	
Epoch: [0][134/849]	Time 2.039 (2.135)	Data 0.846 (0.863)	Loss 0.1179 (0.1526)	Prec 0.882 (0.847)	
Epoch: [0][135/849]	Time 2.033 (2.135)	Data 0.845 (0.863)	Loss 0.1261 (0.1524)	Prec 0.874 (0.848)	
Epoch: [0][136/849]	Time 2.038 (2.134)	Data 0.845 (0.863)	Loss 0.1225 (0.1522)	Prec 0.877 (0.848)	
Epoch: [0][137/849]	Time 2.035 (2.133)	Data 0.846 (0.863)	Loss 0.1191 (0.1519)	Prec 0.881 (0.848)	
Epoch: [0][138/849]	Time 2.034 (2.132)	Data 0.845 (0.863)	Loss 0.1158 (0.1517)	Prec 0.884 (0.848)	
Epoch: [0][139/849]	Time 2.033 (2.132)	Data 0.845 (0.863)	Loss 0.1122 (0.1514)	Prec 0.888 (0.849)	
Epoch: [0][140/849]	Time 2.036 (2.131)	Data 0.845 (0.863)	Loss 0.1265 (0.1512)	Prec 0.873 (0.849)	
Epoch: [0][141/849]	Time 2.034 (2.130)	Data 0.845 (0.863)	Loss 0.1235 (0.1510)	Prec 0.876 (0.849)	
Epoch: [0][142/849]	Time 2.035 (2.130)	Data 0.846 (0.862)	Loss 0.1283 (0.1508)	Prec 0.872 (0.849)	
Epoch: [0][143/849]	Time 2.037 (2.129)	Data 0.845 (0.862)	Loss 0.1216 (0.1506)	Prec 0.878 (0.849)	
Epoch: [0][144/849]	Time 2.037 (2.128)	Data 0.845 (0.862)	Loss 0.1308 (0.1505)	Prec 0.869 (0.849)	
Epoch: [0][145/849]	Time 2.033 (2.128)	Data 0.844 (0.862)	Loss 0.1176 (0.1503)	Prec 0.882 (0.850)	
Epoch: [0][146/849]	Time 2.038 (2.127)	Data 0.847 (0.862)	Loss 0.1279 (0.1501)	Prec 0.872 (0.850)	
Epoch: [0][147/849]	Time 2.035 (2.127)	Data 0.845 (0.862)	Loss 0.1347 (0.1500)	Prec 0.865 (0.850)	
Epoch: [0][148/849]	Time 2.037 (2.126)	Data 0.846 (0.862)	Loss 0.1290 (0.1499)	Prec 0.871 (0.850)	
Epoch: [0][149/849]	Time 2.034 (2.125)	Data 0.845 (0.862)	Loss 0.1223 (0.1497)	Prec 0.878 (0.850)	
Epoch: [0][150/849]	Time 2.036 (2.125)	Data 0.846 (0.862)	Loss 0.1197 (0.1495)	Prec 0.880 (0.850)	
Epoch: [0][151/849]	Time 2.032 (2.124)	Data 0.844 (0.861)	Loss 0.1155 (0.1493)	Prec 0.885 (0.851)	
Epoch: [0][152/849]	Time 2.035 (2.124)	Data 0.847 (0.861)	Loss 0.1290 (0.1491)	Prec 0.871 (0.851)	
Epoch: [0][153/849]	Time 2.034 (2.123)	Data 0.844 (0.861)	Loss 0.1242 (0.1490)	Prec 0.876 (0.851)	
Epoch: [0][154/849]	Time 2.037 (2.122)	Data 0.847 (0.861)	Loss 0.1309 (0.1489)	Prec 0.869 (0.851)	
Epoch: [0][155/849]	Time 2.036 (2.122)	Data 0.845 (0.861)	Loss 0.1243 (0.1487)	Prec 0.876 (0.851)	
